V1;V2;V3;V4
8.2.2.1.2.12.03;  LIBERACAO DE REPASSE A LIBERAR POR    ;                0,00 ; 
8.2.2.1.2.12.04;  REPASSE LIBERADO POR DESCENTRALIZA    ;   28.877.089.322,16 ;C
8.2.2.1.3.01.00;  LIBERACAO DE SUB-REPASSE A PROGRAM    ;3.125.906.536.365,67 ;C
8.2.2.1.3.02.01;  LIBERACAO DE SUB-REPASSE SOLICITAD    ;    3.051.484.367,17 ;C
8.2.2.1.3.02.02;  LIBERACAO DE SUB-REPASSE SOLICITAD    ;          527.442,00 ;C
8.2.2.1.3.03.00;  SUB-REPASSE APROVADO A LIBERAR        ;       43.156.752,86 ;C
8.2.2.1.3.04.00;  SUB-REPASSE LIBERADO                  ;1.064.870.066.972,78 ;C
8.2.2.1.3.05.00;  SUB-REPASSE LIBERADO DIFERIDO         ;   38.146.709.979,80 ;C
8.2.2.1.3.06.00;  SUB-REPASSE LIBERADO A REMANEJAR      ;        1.022.582,57 ;C
8.2.2.1.3.08.00;  SUB-REPASSE LIBERADO POR DOCUMENTO    ;   19.426.923.640,93 ;C
8.2.2.1.3.09.00;  SUB-REPASSE LIBERADO DIRETAMENTE A    ;       73.523.121,39 ;C
8.2.2.1.3.10.00;  SUB-REPASSE LIBERADO INDISPONIVEL     ;   21.743.331.544,39 ;C
8.2.2.1.3.11.00;  SUB-REPASSE LIBERADO TRANSFERIDO      ;   20.337.621.034,00 ;C
8.2.2.1.3.12.01;  LIBERACAO DE SUB-REPASSE A PROG PO    ;      109.992.542,26 ;C
8.2.2.1.3.12.04;  SUB-REPASSE LIBERADO POR DESC EXTE    ;        2.440.843,94 ;C
8.2.2.1.4.01.02;  LIBERACAO DE RP AUTORIZADO - A PRO    ;  552.050.506.921,64 ;C
8.2.2.1.4.02.01;  LIBERACAO DE RP SOLICITADA A APROV    ;    1.588.135.504,36 ;C
8.2.2.1.4.02.02;  LIBERACAO DE RP SOLICITADA A REMAN    ;       34.684.111,61 ;C
8.2.2.1.4.03.00;  RESTOS A PAGAR APROVADO A LIBERAR     ;       48.721.812,65 ;C
8.2.2.1.4.04.00;  RESTOS A PAGAR LIBERADO               ;  134.223.589.544,54 ;C
8.2.2.1.4.06.00;  RESTOS A PAGAR LIBERADO A REMANEJA    ;       34.188.971,04 ;C
8.2.2.1.4.09.01;  RP AUTORIZADO POR DESTAQUE - INSCR    ;        4.646.194,79 ;C
8.2.2.1.4.09.02;  RP AUTORIZADO POR DESTAQUE A PROGR    ;    7.714.619.282,87 ;C
8.2.2.1.4.09.03;  RP AUTORIZADO POR DESTAQUE A APROV    ;        1.032.483,72 ;C
8.2.2.1.4.10.00;  RESTOS A PAGAR LIBERADOS POR DESTA    ;    2.711.619.486,70 ;C
8.2.2.1.4.18.00;  RP LIBERADOS POR DOCUMENTOS ELETRO    ;    1.233.580.494,22 ;C
8.2.2.1.5.01.00;  LIBERACAO DE RESTITUICAO A APROVAR    ;        3.455.046,98 ;C
8.2.2.1.5.02.00;  RESTITUICAO A LIBERAR                 ;        4.164.476,92 ;C
8.2.2.1.5.03.00;  RESTITUICAO LIBERADA                  ;   12.225.173.915,65 ;C
8.2.2.2.1.01.00;  RECEBIMENTO DE COTA A PROGRAMAR       ;3.099.623.224.709,11 ;C
8.2.2.2.1.02.01;  RECEBIMENTO DE COTA SOLICITADO A A    ;    4.832.089.972,10 ;C
8.2.2.2.1.02.02;  RECEBIMENTO DE COTA SOLICITADO A R    ;        6.358.698,52 ;C
8.2.2.2.1.03.00;  COTA SOLICITADA APROVADA A RECEBER    ;                0,00 ; 
8.2.2.2.1.04.00;  COTA RECEBIDA                         ;1.399.631.335.568,69 ;C
8.2.2.2.1.05.00;  COTA RECEBIDA DIFERIDA                ;   52.359.519.303,20 ;C
8.2.2.2.1.06.00;  COTA RECEBIDA A REMANEJAR             ;        6.358.698,52 ;C
8.2.2.2.1.08.00;  COTA RECEBIDA POR DOCUMENTOS ELETR    ;   25.804.110.624,00 ;C
8.2.2.2.1.09.00;  COTA RECEBIDA DIRETAMENTE ARRECADA    ;    2.403.081.746,30 ;C
8.2.2.2.1.10.00;  COTA RECEBIDA INDISPONIVEL            ;   57.632.875.325,56 ;C
8.2.2.2.1.11.00;  COTA RECEBIDA TRANSFERIDA             ;   31.162.176.803,00 ;C
8.2.2.2.2.01.00;  RECEBIMENTO DE REPASSE A PROGRAMAR    ;1.322.006.054.424,46 ;C
8.2.2.2.2.02.01;  RECEBIMENTO DE REPASSE SOLICITADO     ;    2.201.836.319,10 ;C
8.2.2.2.2.02.02;  RECEBIMENTO DE REPASSE SOLICITADO     ;                0,00 ; 
8.2.2.2.2.03.00;  REPASSE APROVADO A RECEBER            ;        4.000.703,00 ;C
8.2.2.2.2.04.00;  REPASSE RECEBIDO                      ;  665.922.948.924,89 ;C
8.2.2.2.2.05.00;  REPASSE RECEBIDO DIFERIDO             ;   22.792.676.344,24 ;C
8.2.2.2.2.06.00;  REPASSE RECEBIDO A REMANEJAR          ;                0,00 ; 
8.2.2.2.2.08.00;  REPASSE RECEBIDO POR DOCUMENTOS EL    ;   13.365.369.898,92 ;C
8.2.2.2.2.09.00;  REPASSE RECEBIDO DIRETAMENTE ARREC    ;        4.389.997,84 ;C
8.2.2.2.2.10.00;  REPASSE RECEBIDO INDISPONIVEL         ;   30.483.516.545,86 ;C
8.2.2.2.2.11.00;  REPASSE RECEBIDO TRANSFERIDO          ;   28.923.464.051,69 ;C
8.2.2.2.2.12.01;  RECEBIMENTO DE REPASSE A PROGR POR    ;   57.754.804.830,99 ;C
8.2.2.2.2.12.02;  RECEBIMENTO DE REPASSE A APROVAR P    ;        4.955.000,00 ;C
8.2.2.2.2.12.03;  REPASSE A RECEBER P/ DESCENTRALIZA    ;                0,00 ; 
8.2.2.2.2.12.04;  REPASSE RECEBIDO POR DESCENTRALIZA    ;   28.877.089.322,26 ;C
8.2.2.2.3.01.00;  RECEBIMENTO DE SUB-REPASSE A PROGR    ;3.125.906.536.365,98 ;C
8.2.2.2.3.02.01;  RECEBIMENTO DE SUB-REPASSE SOLIC A    ;    3.051.484.367,17 ;C
8.2.2.2.3.02.02;  RECEBIMENTO DE SUB-REPASSE SOLIC A    ;          527.442,00 ;C
8.2.2.2.3.03.00;  SUB-REPASSE APROVADO A RECEBER        ;       43.156.752,86 ;C
8.2.2.2.3.04.00;  SUB-REPASSE RECEBIDO                  ;1.064.870.066.972,87 ;C
8.2.2.2.3.05.00;  SUB-REPASSE RECEBIDO DIFERIDO         ;   38.146.709.980,38 ;C
8.2.2.2.3.06.00;  SUB-REPASSE RECEBIDO A REMANEJAR      ;        1.022.582,57 ;C
8.2.2.2.3.08.00;  SUB-REPASSE RECEBIDO POR DOCUMENTO    ;   19.426.923.640,93 ;C
8.2.2.2.3.09.00;  SUB-REPASSE RECEBIDO DIRETAMENTE A    ;       73.523.121,38 ;C
8.2.2.2.3.10.00;  SUB-REPASSE RECEBIDO INDISPONIVEL     ;   21.743.331.544,39 ;C
8.2.2.2.3.11.00;  SUB-REPASSE RECEBIDO TRANSFERIDO      ;   20.337.621.034,00 ;C
8.2.2.2.3.12.01;  RECEBIMENTO SUB-REPASSE A PROG POR    ;      109.992.542,26 ;C
8.2.2.2.3.12.04;  SUB-REPASSE RECEBIDO POR DESCENTRA    ;        2.440.843,94 ;C
8.2.2.2.4.01.01;  RECEBIMENTO DE RP AUTORIZADO - INS    ;                0,00 ; 
8.2.2.2.4.01.02;  RECEBIMENTO DE RP AUTORIZADO A PRO    ;  552.047.385.640,51 ;C
8.2.2.2.4.02.01;  RECEBIMENTO DE RP SOLICITADO A APR    ;    1.588.135.504,36 ;C
8.2.2.2.4.02.02;  RECEBIMENTO DE RP SOLICITADO A REM    ;       34.684.111,61 ;C
8.2.2.2.4.03.00;  RESTOS A PAGAR APROVADO A RECEBER     ;       48.721.812,65 ;C
8.2.2.2.4.04.00;  RESTOS A PAGAR RECEBIDO               ;  134.223.587.912,14 ;C
8.2.2.2.4.06.00;  RESTOS A PAGAR RECEBIDO A REMANEJA    ;       34.188.971,04 ;C
8.2.2.2.4.09.01;  RP AUTORIZADO POR DESTAQUE - INSCR    ;        4.646.194,79 ;C
8.2.2.2.4.09.02;  RP AUTORIZADO POR DESTAQUE A PROGR    ;    7.712.313.186,53 ;C
8.2.2.2.4.09.03;  RP AUTORIZADO POR DESTAQUE A APROV    ;        1.032.483,72 ;C
8.2.2.2.4.10.00;  RESTOS A PAGAR RECEBIDOS POR DESTA    ;    2.711.613.657,81 ;C
8.2.2.2.4.18.00;  RP RECEBIDO POR DOCUMENTOS ELETRON    ;    1.233.580.494,22 ;C
8.2.2.2.5.01.00;  RECEBIMENTO DE RESTITUICAO A APROV    ;        3.455.046,98 ;C
8.2.2.2.5.02.00;  RESTITUICAO A RECEBER                 ;        4.164.476,92 ;C
8.2.2.2.5.03.00;  RESTITUICAO RECEBIDA                  ;   12.225.173.915,65 ;C
8.2.2.8.1.00.00;  VARIACAO CAMBIAL POSITIVA AJUST CT    ;                0,95 ;C
8.2.2.8.2.00.00;  VARIACAO CAMBIAL NEGATIVA AJUST CT    ;                1,05 ;D
8.2.3.1.1.00.00;  LIMITE ORCAMENTARIO A DISPONIBILIZ    ;  131.261.084.101,00 ;C
8.2.3.2.0.01.00;  LIMITE ORCAMENTARIO A UTILIZAR        ;   72.644.162.480,45 ;C
8.2.3.2.0.02.00;  LIMITE ORCAMENTARIO DE PRE-EMPENHO    ;      103.528.965,93 ;C
8.2.3.2.0.03.00;  LIMITE ORCAMENTARIO UTILIZADO         ;   21.395.174.852,18 ;C
8.2.3.2.0.04.00;  LIMITE ORCAMENTARIO RECEBIDO TRANS    ;   82.464.603.198,38 ;C
8.2.3.2.0.05.00;  LIMITE ORCAMENTARIO DESCENTRALIZAD    ;   10.844.383.200,84 ;C
8.2.3.2.0.06.00;  LIMITE ORCAMENTARIO UTILIZADO POR     ;   21.730.224.609,04 ;C
8.2.3.2.0.07.00;  LIMITE ORCAMENTARIO UTILIZADO POR     ;    4.543.609.992,56 ;C
8.2.3.2.0.08.00;  LIMITE ORCAMENTARIO AUTORIZADO        ;  131.261.084.101,00 ;C
8.2.3.8.1.00.00;  VARIACAO CAMBIAL POSITIVA AJUST CT    ;                0,00 ; 
8.2.3.8.2.00.00;  VARIACAO CAMBIAL NEGATIVA AJUST CT    ;                0,00 ; 
8.2.4.1.1.01.00;  ARRECADACAO BRUTA POR CODIGO DE RE    ;  719.232.210.140,53 ;C
8.2.4.1.1.04.00;  (-) RETIFICACOES POR CODIGO DE REC    ;       74.245.230,59 ;D
8.2.4.1.1.05.00;  (-) COMPENSACOES POR CODIGO DE REC    ;      707.647.408,55 ;C
8.2.4.1.1.06.00;  (-) RESTITUICOES POR CODIGO DE REC    ;    8.676.299.815,75 ;D
8.2.4.1.1.08.00;  PROGRAMA DE RECUPERACAO FISCAL - R    ;                0,04 ;D
8.2.4.1.1.09.00;  CONTRIB.INTERV.DOMINIO ECO - CIDE     ;                0,04 ;C
8.2.4.1.1.10.00;  RETENCAO DE PGTO DE PJ POR PJ POR     ;                0,00 ; 
8.2.4.1.1.11.00;  DEP REG ESP DE TRIB DO PATRIM POR     ;                0,11 ;D
8.2.4.1.1.12.00;  DEP.RET.DE CONTRIB. S/ PGTO EST/MU    ;                0,00 ; 
8.2.4.1.1.13.00;  PROGRAMA ESPECIAL - PAES POR COD D    ;                0,25 ;D
8.2.4.1.1.14.00;  RETENCAO DE ORGAOS PUBLICOS P/ COD    ;                0,06 ;D
8.2.4.1.1.15.00;  PROGRAMA EXCEPCIONAL PAEX POR COD.    ;                0,13 ;D
8.2.4.1.1.17.00;  PROGRAMA EXCEPCIONAL PAEX 2 POR CO    ;                0,00 ; 
8.2.4.1.1.18.00;  ITR ARRECADACAO POR CODIGO DE RECE    ;                0,00 ; 
8.2.4.1.1.20.00;  ARRECAD BRT POR COD DE RECEITA LEI    ;                0,32 ;D
8.2.4.1.1.21.00;  ARRECADACAO BRUTA POR CODIGO DE RE    ;                0,03 ;C
8.2.4.1.2.01.00;  ARRECADACAO BRUTA P/ COD DE DESTIN    ;  719.232.210.137,98 ;C
8.2.4.1.2.04.00;  RETIFICACOES POR COD DE DESTINACAO    ;       74.245.230,21 ;D
8.2.4.1.2.05.00;  COMPENSACOES POR COD DE DESTINACAO    ;      707.647.408,85 ;C
8.2.4.1.2.06.00;  RESTITUICOES POR COD DE DESTINACAO    ;    8.676.299.815,54 ;D
8.2.4.1.2.08.00;  PROGR RECUPER FISCAL - REFIS POR C    ;                0,00 ; 
8.2.4.1.2.09.00;  CONTRIB INTERV DOMIN ECO - CIDE PO    ;                0,00 ; 
8.2.4.1.2.10.00;  RETENCAO DE PGTO DE PJ POR PJ POR     ;                0,00 ; 
8.2.4.1.2.11.00;  DEPOSITO REG ESP TRIB DO PATRIM PO    ;                0,00 ; 
8.2.4.1.2.12.00;  DEP.RET.DE CONTRIB S/ PGTO EST/MUN    ;                0,00 ; 
8.2.4.1.2.13.00;  PROGRAMA ESPECIAL - PAES POR COD D    ;                0,00 ; 
8.2.4.1.2.14.00;  RETENCAO DE ORGAOS PUBLICOS POR CO    ;                0,00 ; 
8.2.4.1.2.15.00;  PROGRAMA EXCEPCIONAL POR COD DE DE    ;                0,00 ; 
8.2.4.1.2.17.00;  PROGRAMA EXCEPCIONAL PAEX 2 POR DE    ;                0,00 ; 
8.2.4.1.2.18.00;  ITR ARRECADACAO POR CODIGO DE DEST    ;                0,00 ; 
8.2.4.1.2.20.00;  ARREC BRT POR COD DE DESTINACAO LE    ;                0,00 ; 
8.2.4.1.2.21.00;  ARRECADACAO BRT POR COD DE DESTINA    ;                0,00 ; 
8.2.4.1.3.01.00;  ARREC. BRUTA P/ COD. DE DESTINACAO    ;  695.549.808.983,80 ;C
8.2.4.1.3.04.00;  RETIFICACOES POR COD DE DESTINACAO    ;    1.284.289.915,90 ;C
8.2.4.1.3.05.00;  COMPENSACOES POR COD DE DESTINACAO    ;    1.051.844.801,55 ;D
8.2.4.1.3.06.00;  RESTITUICOES POR COD DE DESTINACAO    ;    8.482.728.866,98 ;D
8.2.4.1.3.08.00;  PROGR DE RECUP FISC - REFIS POR CO    ;       40.828.380,43 ;C
8.2.4.1.3.09.00;  CONTRIB INTERV DOM ECO - CIDE POR     ;      966.878.982,70 ;C
8.2.4.1.3.10.00;  RETENCAO DE PGTO DE PJ POR PJ POR     ;    7.761.668.889,40 ;C
8.2.4.1.3.11.00;  DEP REG ESP DE TRIB DO PATRIM POR     ;    1.420.188.195,04 ;C
8.2.4.1.3.12.00;  DEP.RET.DE CONTRIB. S/ PGTO EST/MU    ;       23.730.098,47 ;C
8.2.4.1.3.13.00;  PROGRAMA ESPECIAL - PAES POR COD D    ;       24.445.742,55 ;D
8.2.4.1.3.14.00;  RETENCAO DE ORGAOS PUB POR COD DE     ;    5.072.156.573,97 ;C
8.2.4.1.3.15.00;  PROGRAMA EXCEPCIONAL - PAEX POR CO    ;                0,13 ;D
8.2.4.1.3.17.00;  PROGRAMA EXCEPCIONAL - PAEX 2 POR     ;                0,00 ; 
8.2.4.1.3.18.00;  ITR ARRECADACAO POR CODIGO DE DEST    ;      164.042.887,39 ;C
8.2.4.1.3.20.00;  ARRECADACAO LIQ PARCELAMENTO LEI 1    ;      707.922.096,69 ;C
8.2.4.1.3.21.00;  ARRECADACAO LIQUIDA - RTU (LEI 11.    ;                0,03 ;C
8.2.4.1.4.01.00;  PROGRAMA DE RECUPERACAO FISCAL - R    ;        3.359.881,14 ;C
8.2.4.1.4.02.00;  PARCELAMENTO ESPECIAL - PAES          ;        2.975.747,72 ;C
8.2.4.1.4.03.00;  PARCELAMENTO EXCEPCIONAL - PAEX       ;        9.910.645,23 ;C
8.2.4.1.4.04.00;  PARCELAMENTO P/ INGRESSO NO SIMPLE    ;          432.333,31 ;D
8.2.4.1.4.05.00;  PARCELAMENTO TIMEMANIA                ;      184.540.438,86 ;C
8.2.4.1.4.06.00;  PARCELAMENTO FIES - LEI 10.260/200    ;      276.609.732,72 ;C
8.2.4.1.4.07.00;  PARCELAMENTO MP 449/2008              ;       58.441.756,12 ;C
8.2.4.1.4.08.00;  PARCELAMENTO DECORRENTE DA LEI 11.    ;      102.834.616,09 ;C
8.2.4.1.4.09.00;  PAGAMENTO/PARCELAMENTO - MP 470/20    ;       20.688.719,06 ;C
8.2.4.1.4.10.00;  PARCELAMEN PARAMETRIZADO E COBRANC    ;        2.467.862,48 ;D
8.2.4.1.4.11.00;  PARCELAMENTO - LEI 12.865/2013        ;      252.166.693,95 ;C
8.2.4.1.4.12.00;  PARCELAMENTO - LEI 12.996/2014        ;       57.006.106,35 ;D
8.2.4.1.4.13.00;  REABERTURA DA LEI 11.941/2009         ;        4.268.985,80 ;C
8.2.4.1.4.14.00;  PARCELAMENTO PROFUT                   ;       97.779.644,97 ;C
8.2.4.1.4.15.00;  PROGRAMA REGULARIZAÇÃO TRIBUTÁRIA     ;                0,00 ; 
8.2.4.1.4.16.00;  PARCELAMENTO IRPJ/CSLL SOBRE GANHO    ;               74,20 ;C
8.2.4.1.4.17.00;  PROGR ESP DE REGULARIZAÇÃO TRIB -     ;                0,00 ; 
8.2.4.1.4.18.00;  PARCELAMENTO RECUPERACAO JUD - LEI    ;       47.305.689,66 ;C
8.2.4.1.5.01.00;  ITR E CONTRIBUICOES RURAIS            ;       81.989.302,17 ;C
8.2.4.1.5.02.00;  RETENCAO DE ORGAOS PUBLICOS           ;      189.544.490,70 ;C
8.2.4.1.5.03.00;  DEPOSITO DO IMPOSTO SIMPLES           ;       15.624.610,43 ;C
8.2.4.1.5.04.00;  CONTRIB DE INTERVENCAO NO DOMINIO     ;               60,16 ;C
8.2.4.1.5.05.00;  RETENCAO DE PAGAMENTO DE PJ POR PJ    ;       65.610.360,79 ;C
8.2.4.1.5.06.00;  DEPOSITO REGIME ESP DE TRIB DO PAT    ;       14.525.496,74 ;C
8.2.4.1.5.07.00;  RETENCAO DE CONTRIB S/ PGTO DE EST    ;          362.971,15 ;C
8.2.4.1.5.08.00;  IMPOSTO TERRITORIAL RURAL - ITR       ;       93.950.234,52 ;C
8.2.4.1.5.09.00;  DEPOSITO DE RESTITUICOES DE TRIBUT    ;    3.229.381.194,56 ;C
8.2.4.1.5.10.00;  DEPOSITO DE OUTRAS RECEITAS NAO ID    ;        2.292.907,30 ;D
8.2.4.1.5.11.00;  DIVIDA ATIVA - ITR                    ;      343.233.727,37 ;C
8.2.4.1.5.12.00;  REGIME DE TRIBUTACAO UNIFICADA - I    ;          544.812,58 ;C
8.2.4.1.5.99.00;  DEPOSITOS DIVERSOS A DECOMPOR - SR    ;            6.707,41 ;C
8.2.4.1.6.01.00;  PARCELAMENTO DE ARREMATACAO           ;      860.947.965,50 ;C
8.2.4.1.6.02.00;  DEPOSITO JUD E EXTRA JUD ADMINISTR    ;    5.074.823.880,25 ;C
8.2.4.2.1.01.01;  RECOLHIMENTO DO PRINCIPAL             ;  121.981.178.980,65 ;C
8.2.4.2.1.01.02;  RECOLHIMENTO DE MULTA/MORA/JUROS      ;       57.261.111,11 ;C
8.2.4.2.1.01.03;  RECOLHIMENTO OUTROS ACRESCIMOS        ;       71.567.348,17 ;C
8.2.4.2.1.01.04;  RECOLHIMENTO JUROS E ENCARGOS         ;    8.149.284.591,69 ;C
8.2.4.2.1.01.05;  DESCONTOS E ABATIMENTOS DO RECOLHI    ;      116.234.878,30 ;D
8.2.4.2.1.01.06;  OUTRAS DEDUCOES DO RECOLHIMENTO       ;       48.999.435,98 ;D
8.2.4.2.1.02.01;  RETIFICACOES DO PRINCIPAL             ;   14.139.665.487,67 ;D
8.2.4.2.1.02.02;  RETIFICACOES DE MULTA/MORA/JUROS      ;          376.903,00 ;D
8.2.4.2.1.02.03;  RETIFICACOES DE OUTROS ACRESCIMOS     ;          112.265,01 ;D
8.2.4.2.1.02.04;  RETIFICACOES JUROS/ENCARGOS           ;      164.529.401,22 ;D
8.2.4.2.1.02.05;  RETIFICACAO DE DESCONTOS E ABATIME    ;        2.439.150,27 ;C
8.2.4.2.1.02.06;  RETIFICACAO DE OUTRAS DEDUCOES REC    ;          181.563,00 ;C
8.2.4.2.1.03.01;  RESTITUICOES DO PRINCIPAL             ;      338.995.328,75 ;D
8.2.4.2.1.03.04;  RESTITUICOES JUROS/ENCARGOS           ;            1.143,70 ;D
8.2.4.2.2.01.01;  RECOLHIMENTO DO PRINCIPAL             ;  121.126.075.465,91 ;C
8.2.4.2.2.01.02;  RECOLHIMENTO DE MULTA/MORA/JUROS      ;       57.260.160,03 ;C
8.2.4.2.2.01.03;  RECOLHIMENTO OUTROS ACRESCIMOS        ;       71.566.653,93 ;C
8.2.4.2.2.01.04;  RECOLHIMENTO JUROS E ENCARGOS         ;    8.140.439.341,24 ;C
8.2.4.2.2.01.05;  DESCONTOS E ABATIMENTOS DO RECOLHI    ;      115.607.822,90 ;D
8.2.4.2.2.01.06;  OUTRAS DEDUCOES DO RECOLHIMENTO       ;       48.999.435,98 ;D
8.2.4.2.2.02.01;  RETIFICACOES DO PRINCIPAL             ;   14.139.665.335,17 ;D
8.2.4.2.2.02.02;  RETIFICACOES DE MULTA/MORA/JUROS      ;          376.903,00 ;D
8.2.4.2.2.02.03;  RETIFICACOES DE OUTROS ACRESCIMOS     ;          112.265,01 ;D
8.2.4.2.2.02.04;  RETIFICACOES JUROS/ENCARGOS           ;      164.529.401,22 ;D
8.2.4.2.2.02.05;  RETIFICACAO DE DESCONTOS E ABATIME    ;        2.439.860,78 ;C
8.2.4.2.2.02.06;  RETIFICACAO DE OUTRAS DEDUCOES REC    ;          181.563,00 ;C
8.2.4.2.2.03.01;  RESTITUICOES DO PRINCIPAL             ;      338.996.472,45 ;D
8.2.4.2.3.01.01;  RECOLHIMENTO DO PRINCIPAL             ;  121.126.033.451,62 ;C
8.2.4.2.3.01.02;  RECOLHIMENTO DE MULTA/MORA/JUROS      ;       57.260.160,03 ;C
8.2.4.2.3.01.03;  RECOLHIMENTO OUTROS ACRESCIMOS        ;       71.566.653,93 ;C
8.2.4.2.3.01.04;  RECOLHIMENTO JUROS E ENCARGOS         ;    8.140.439.341,24 ;C
8.2.4.2.3.01.05;  DESCONTOS E ABATIMENTOS DO RECOLHI    ;      115.607.822,90 ;D
8.2.4.2.3.01.06;  OUTRAS DEDUCOES DO RECOLHIMENTO       ;       48.999.435,98 ;D
8.2.4.2.3.02.01;  RETIFICACOES DO PRINCIPAL             ;   14.137.415.879,93 ;D
8.2.4.2.3.02.02;  RETIFICACOES DE MULTA/MORA/JUROS      ;          373.404,55 ;D
8.2.4.2.3.02.03;  RETIFICACOES DE OUTROS ACRESCIMOS     ;          112.259,27 ;D
8.2.4.2.3.02.04;  RETIFICACOES DE JUROS/ENCARGOS        ;      164.516.454,79 ;D
8.2.4.2.3.02.05;  RETIFICACAO DE DESCONTOS E ABATIME    ;        2.438.277,52 ;C
8.2.4.2.3.02.06;  RETIFICACAO DE OUTRAS DEDUCOES REC    ;          181.563,00 ;C
8.2.4.2.3.03.01;  RESTITUICOES DO PRINCIPAL             ;      338.996.472,45 ;D
8.2.4.3.1.00.00;  ISS SUBSTITUICAO A DISTRIBUIR         ;      183.646.816,53 ;C
8.2.4.8.1.00.00;  VARIACAO CAMBIAL POSITIVA AJUST CT    ;                0,00 ; 
8.2.4.8.2.00.00;  VARIACAO CAMBIAL NEGATIVA AJUST CT    ;                0,00 ; 
8.3.1.1.1.00.00;  DIVIDA ATIVA TRIBUTARIA NAO PREVID    ;          163.004,56 ;C
8.3.1.1.3.00.00;  DIVIDA ATIVA NAO TRIBUTARIA           ;        1.301.507,87 ;C
8.3.1.2.1.00.00;  DIVIDA ATIVA TRIBUTARIA NAO PREVID    ;      627.647.325,69 ;C
8.3.1.2.2.00.00;  DIVIDA ATIVA TRIBUTARIA PREVIDENCI    ;            1.074,19 ;C
8.3.1.2.3.00.00;  DIVIDA ATIVA NAO TRIBUTARIA           ;      531.756.249,73 ;C
8.3.1.3.1.00.00;  DIVIDA ATIVA TRIBUTARIA NAO PREVID    ;            1.788,45 ;C
8.3.1.3.3.00.00;  DIVIDA ATIVA NAO TRIBUTARIA           ;          437.067,69 ;C
8.3.1.4.1.00.00;  DIVIDA ATIVA TRIBUTARIA NAO PREVID    ;      348.753.994,00 ;C
8.3.1.4.3.00.00;  DIVIDA ATIVA NAO TRIBUTARIA           ;      547.219.757,45 ;C
8.3.2.1.3.00.00;  DIVIDA ATIVA NAO TRIBUTARIA           ;        3.142.150,20 ;C
8.3.8.1.0.00.00;  VARIACAO CAMBIAL POSITIVA AJUST CT    ;                0,00 ; 
8.3.8.2.0.00.00;  VARIACAO CAMBIAL NEGATIVA AJUST CT    ;                0,00 ; 
8.4.1.1.0.00.00;  PASSIVOS CONTINGENTES PREVISTOS       ;1.391.517.279.665,16 ;C
8.4.1.2.0.00.00;  PASSIVOS CONTINGENTES CONFIRMADOS     ;        1.599.056,13 ;C
8.4.1.3.0.00.00;  PASSIVOS CONTINGENTES NÃO CONFIRMA    ;       28.380.453,10 ;C
8.4.2.1.2.00.00;  REESTRUTURACAO DE DIVIDAS - PREVIS    ;      765.000.000,00 ;C
8.4.2.1.4.00.00;  ASSUNCAO DE OBRIGACOES POR EXTINCA    ;    5.175.000.000,00 ;C
8.4.2.1.9.00.00;  DEMAIS RISCOS FISCAIS PREVISTOS       ;      104.000.000,00 ;C
8.4.8.1.0.00.00;  VARIACAO CAMBIAL POSITIVA AJUST CT    ;                0,00 ; 
8.4.8.2.0.00.00;  VARIACAO CAMBIAL NEGATIVA AJUST CT    ;                0,00 ; 
8.5.8.1.0.00.00;  VARIACAO CAMBIAL POSITIVA AJUST CT    ;                0,00 ; 
8.5.8.2.0.00.00;  VARIACAO CAMBIAL NEGATIVA AJUST CT    ;                0,00 ; 
8.6.3.3.2.00.00;  DESPESA COM PESSOAL - CONTRATO DE     ;      305.477.592,63 ;C
8.8.8.1.0.00.00;  VARIACAO CAMBIAL POSITIVA AJUST CT    ;                0,00 ; 
8.8.8.2.0.00.00;  VARIACAO CAMBIAL NEGATIVA AJUST CT    ;                0,00 ; 
8.9.1.1.0.00.00;  EXECUCAO DE PAGAMENTOS EFETUADOS      ;1.473.118.445.346,46 ;C
8.9.1.2.1.01.00;  RESTITUICAO UTILIZADA - DARF          ;    8.676.427.097,92 ;C
8.9.1.2.1.02.00;  COMPENSACAO UTILIZADA - DARF          ;      103.774.832,89 ;C
8.9.1.2.1.03.00;  RESTITUICAO UTILIZADA - GRU           ;      338.996.472,45 ;C
8.9.1.2.1.04.00;  RESTITUICAO UTILIZADA - GPS           ;      995.395.028,54 ;C
8.9.1.2.1.05.00;  RESTITUICAO A PAGAR                   ;      181.287.961,56 ;C
8.9.1.2.2.01.00;  RESTITUICAO UTILIZADA - DARF          ;    8.676.427.097,92 ;C
8.9.1.2.2.02.00;  COMPENSACAO UTILIZADA - DARF          ;      103.774.832,89 ;C
8.9.1.2.2.03.00;  RESTITUICAO UTILIZADA - GRU           ;      338.996.472,45 ;C
8.9.1.2.2.04.00;  RESTITUICAO UTILIZADA - GPS           ;      995.395.028,54 ;C
8.9.1.2.2.05.00;  RESTITUICAO A PAGAR                   ;      181.287.961,56 ;C
8.9.1.8.1.00.00;  VARIACAO CAMBIAL POSITIVA AJUST CT    ;                0,00 ; 
8.9.1.8.2.00.00;  VARIACAO CAMBIAL NEGATIVA AJUST CT    ;                0,00 ; 
8.9.2.1.1.01.00;  DARF A EMITIR                         ;    1.192.201.050,43 ;C
8.9.2.1.1.02.00;  DARF EMITIDO                          ;   49.956.395.881,78 ;C
8.9.2.1.1.03.00;  DARF EMITIDO POR COMPENSACAO DE TR    ;      798.641.249,31 ;C
